scheme,function,npoints,CFL,do-time,itavgtime,extime,writetime,L1,L2,LINF,L1_m,L2_m,LINF_m
cnt,exp,6400,0.50, 1.18280000E-02, 4.92833333E-06, 5.14970000E-02, 3.89940000E-02, 5.24189466+101, 4.04216824+100, 6.47171037E+99, 4.55198131E+43, 3.72906954E+42, 6.74531902E+41
lax,exp,200,0.50, 9.20000000E-05, 1.21052632E-06, 1.65900000E-03, 1.38700000E-03, 2.20448948E+00, 8.82839017E-01, 4.97167218E-01, 2.20448948E+00, 8.82839017E-01, 4.98031083E-01
lax,exp,800,0.50, 4.55000000E-04, 1.51666667E-06, 5.75700000E-03, 5.13000000E-03, 8.85119142E+00, 1.76900219E+00, 4.99510735E-01, 8.85119142E+00, 1.76900219E+00, 4.99173422E-01
lax,exp,1600,0.50, 1.16000000E-03, 1.93333333E-06, 1.20740000E-02, 1.06780000E-02, 1.77134607E+01, 2.50252954E+00, 4.99877792E-01, 1.77134607E+01, 2.50252954E+00, 4.99793486E-01
lax,exp,6400,0.50, 1.18450000E-02, 4.93541667E-06, 5.05940000E-02, 3.80650000E-02, 7.08870762E+01, 5.00623273E+00, 4.99992368E-01, 7.08870762E+01, 5.00623273E+00, 4.99987102E-01
lxw,exp,200,0.50, 1.05000000E-04, 1.38157895E-06, 1.62900000E-03, 1.40500000E-03, 1.61334370E+00, 4.42667689E-01, 1.96808773E-01, 9.92700912E-01, 3.07772213E-01, 1.53974450E-01
lxw,exp,800,0.50, 6.27000000E-04, 2.09000000E-06, 5.88500000E-03, 5.07200000E-03, 6.93543145E-01, 1.24615796E-01, 3.66285349E-02, 3.52039104E-01, 6.33658253E-02, 1.84825542E-02
lxw,exp,1600,0.50, 1.84300000E-03, 3.07166667E-06, 1.20910000E-02, 9.99000000E-03, 3.54295069E-01, 4.53094819E-02, 9.27603101E-03, 1.77321830E-01, 2.26963508E-02, 4.60678463E-03
lxw,exp,6400,0.50, 2.26230000E-02, 9.42625000E-06, 6.25400000E-02, 3.92430000E-02, 8.87247019E-02, 5.68207459E-03, 5.72658264E-04, 4.43610741E-02, 2.84110403E-03, 2.86167869E-04
mcc,exp,200,0.50, 1.00000000E-04, 1.31578947E-06, 1.63300000E-03, 1.41000000E-03, 4.40140670E+00, 1.05359525E+00, 4.97145486E-01, 4.14867495E+00, 1.08017353E+00, 4.93972875E-01
mcc,exp,800,0.50, 5.72000000E-04, 1.90666667E-06, 5.77500000E-03, 5.02900000E-03, 1.77020468E+01, 2.29675451E+00, 4.99510735E-01, 1.73724604E+01, 2.36815625E+00, 4.99123530E-01
mcc,exp,1600,0.50, 1.64100000E-03, 2.73500000E-06, 1.17470000E-02, 9.86200000E-03, 3.54268269E+01, 3.35737932E+00, 4.99877792E-01, 3.49676238E+01, 3.43071639E+00, 4.99786068E-01
mcc,exp,6400,0.50, 1.89560000E-02, 7.89833333E-06, 5.87480000E-02, 3.91280000E-02, 1.41774111E+02, 6.96625367E+00, 4.99992368E-01, 1.40476851E+02, 7.01655206E+00, 4.99986174E-01
upw,sgn,200,0.10, 4.49000000E-04, 1.19414894E-06, 1.87000000E-03, 1.31200000E-03, 4.61476354E+00, 1.16186546E+00, 4.77909204E-01, 3.27562451E+00, 9.85186370E-01, 4.97870851E-01
upw,sgn,6400,0.10, 5.14430000E-02, 4.28691667E-06, 8.92870000E-02, 3.74590000E-02, 2.62184274E+01, 2.77119266E+00, 4.97825022E-01, 1.85377751E+01, 2.33010780E+00, 4.95314571E-01
